start time,mean CPU usage rate,assigned memory usage,mean disk I/O time
600000000,2198.0916216017863,3415.579233700217,211.19672850452937
900000000,2250.4007005730314,3423.3130005502044,222.90081404213942
1200000000,2253.0811578090324,3401.14869070025,226.54284611753843
1500000000,2894.8398441570193,3447.9421163003535,256.5916959547521
1800000000,2713.987207794015,3402.7588483002833,264.12204379743946
2100000000,2581.475179607,3376.6277033003407,312.7451953193206
2400000000,2633.6412772790563,3498.426936650406,360.10027209482666
2700000000,2309.0418540060123,3463.0527997701843,410.52125013042166
3000000000,2319.3254004710043,3512.549690400202,370.9246932243402
3300000000,2498.240271767049,3517.509933800445,341.3597723984235
3600000000,2692.11151305092,3551.442010100346,455.98876144243786
3900000000,2613.7889068470345,3556.2586031903825,453.15467608701545
4200000000,2339.1980493870333,3521.0219285003773,385.2135599054478
4500000000,2355.3572857647437,3539.886031400335,362.2141401801255
4800000000,2163.588431986021,3485.146231100384,307.1295344743267
5100000000,2120.192362526057,3437.3664051001856,393.99168281091465
5400000000,1985.3469195840373,3357.4585864502274,354.98959778602193
5700000000,1942.399645076021,3332.931762592235,329.8258113652107
6000000000,2021.2588584900218,3346.4089301503345,313.7309298827324
6300000000,1964.58132758701,3351.2552777663464,304.67690619362105
6600000000,2040.8170908760467,3347.0695356003116,321.3527835443244
6900000000,2201.2698646090066,3387.4230357002957,384.2935125676116
7200000000,2179.2127875820383,3392.2699753503657,399.00532807422684
7500000000,2143.9562016909854,3386.2563647003617,381.58222442092523
7800000000,2255.27492599004,3383.5807437062535,395.58530304383254
8100000000,2234.180108462019,3384.127025178261,301.9487084675375
8400000000,2280.813663605037,3388.820698950227,238.19701388183225
8700000000,2126.2261229590226,3369.7619052003206,192.50018901552886
9000000000,2118.9869489420357,3359.4175754702856,210.87289745343296
9300000000,2087.0871287409745,3346.64048449622,191.63041687493055
9600000000,2100.3699652890045,3353.3799351002917,202.20760218482496
9900000000,2026.9664865030452,3373.796951720288,247.53530206623728
10200000000,2001.055079411033,3363.316144850217,241.07901473834283
10500000000,2139.0981116360554,3380.8525488002065,355.2805352460173
10800000000,2265.1394901799804,3435.1014584002264,267.5701420177107
11100000000,2156.202825220041,3455.3500293002226,286.00852195791487
11400000000,2183.5120528210355,3430.667021990212,316.7312836877235
11700000000,2194.41945435273,3420.79369630033,335.1285544429059
12000000000,2173.192410034033,3380.986512600435,427.2474211226031
12300000000,2151.462596014044,3369.8739195003845,571.6152346604608
